Title,Price,Tags
EZ2ON REBOOT : R,,"Action, Casual, Rhythm, Sports"
Neurodeck : Psychological Deckbuilder,,"Roguelike Deckbuilder, Card Battler, Card Game, Roguelike"
Emergency Call 112 – The Fire Fighting Simulation 2,,"Simulation, Casual, Action, Colorful"
Rogue State Revolution,,"Sandbox, Atmospheric, Turn-Based Strategy, Grand Strategy"
Cartel Tycoon,,"City Builder, Building, Management, Sandbox"
Mr. Prepper,,"Simulation, Crafting, Survival, Singleplayer"
TASOMACHI: Behind the Twilight,,"Atmospheric, Fantasy, 3D Platformer, Anime"
8Doors: Arum's Afterlife Adventure,,"Action, Adventure, Indie, Metroidvania"
Long Live Caesar,,"Early Access, PvE, Turn-Based Strategy, Time Management"
Arkham Horror: Mother's Embrace,Rp 87 199,"Adventure, RPG, Lovecraftian, Violent"
Overcooked! All You Can Eat,,"Cooking, Simulation, Casual, Family Friendly"
Puyo Puyo™ Tetris® 2,Rp 599 000,"Action, Casual, Arcade, Anime"
Middle-earth: Shadow of War Definitive Edition,Rp 86 400,"Action, Adventure, Violent, Gore"
BioShock: The Collection,Rp 85 000,"Action, FPS, Singleplayer, Story Rich"
Deep Rock Galactic,Rp 90 999,"Co-op, Multiplayer, Class-Based, FPS"
Hearts of Iron IV,Rp 67 499,"Strategy, World War II, Grand Strategy, Historical"
Middle-earth: Shadow of Mordor Game of the Year Edition,Rp 54 399,"Action, Open World, Adventure, Fantasy"
Warhammer: Vermintide 2,Rp 34 999,"Co-op, First-Person, Hack and Slash, Online Co-Op"
Expansion - Hearts of Iron IV: Battle for the Bosporus,Rp 46 899,"Simulation, Strategy, World War II, Grand Strategy"
The Long Dark,Rp 46 199,"Open World Survival Craft, Survival, Open World, Exploration"
NBA 2K21,Rp 230 670,"Basketball, Sports, Simulation, Character Customization"
Middle-earth™: Shadow of War™,Rp 77 999,"Open World, Action, RPG, Fantasy"
LEGO® The Lord of the Rings™,Rp 33 999,"LEGO, Adventure, Local Co-Op, Action"
The Escapists 2,Rp 39 750,"Multiplayer, Strategy, Pixel Graphics, Online Co-Op"
Pathfinder: Kingmaker - Enhanced Plus Edition,Rp 65 399,"RPG, Fantasy, Party-Based RPG, CRPG"
LEGO® The Hobbit™,Rp 33 999,"LEGO, Adventure, Action, Local Co-Op"
My Time At Portia,Rp 74 799,"RPG, Life Sim, Open World, Simulation"
Wingspan,Rp 76 299,"Board Game, Card Game, Turn-Based, Strategy"
Shadow Tactics: Blades of the Shogun,Rp 26 999,"Stealth, Strategy, Tactical, Ninja"
Expansion - Hearts of Iron IV: La Résistance,Rp 54 499,"Simulation, Strategy, World War II, Alternate History"
Prison Architect,Rp 34 999,"Simulation, Building, Strategy, Sandbox"
Democracy 4,Rp 97 999,"Strategy, Simulation, Political Sim, Early Access"
Into the Radius VR,Rp 97 999,"VR, Survival, Atmospheric, Singleplayer"
The Guild 3,Rp 131 999,"Simulation, Life Sim, Economy, Medieval"
PGA TOUR 2K21,Rp 345 000,"Sports, Simulation, Golf, Local Multiplayer"
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,Rp 119 999,"RPG, Adventure, Turn-Based Tactics, Turn-Based"
Expansion - Hearts of Iron IV: Waking the Tiger,Rp 54 499,"Strategy, Simulation, World War II, Grand Strategy"
The Universim,Rp 159 999,"Early Access, City Builder, Colony Sim, Casual"
Witch It,Rp 59 999,"Multiplayer, Funny, Casual, Action"
Expansion - Hearts of Iron IV: Man the Guns,Rp 54 499,"Strategy, Simulation, World War II, Grand Strategy"
RIDE 4,Rp 125 999,"Racing, Sports, Motorbike, First-Person"
